user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,interaction_count,target_score,last_interaction,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,interaction_count_user,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity
262,163,12,False,False,False,1,0,13,2.9,2025-04-27,1087,266,24,44,22,37,120,0.32,Drama|Documentary,147,1994,5|12|50,64|60|73,598,460,Western|Horror|War,4.9,1984,135,Canada,False,False,38,8,23,4161
331,24,2,True,False,True,2,0,6,3.6,2026-06-04,788,241,74,70,2,115,292,0.98,TV Movie|Thriller,89,1988,7|52,11|65,181,41,Science Fiction,9.7,2013,141,Italy,True,False,19,50,27,2776
348,99,1,False,False,True,0,4,6,1.8,2025-10-18,517,375,109,77,9,85,41,0.9,Music,109,2010,39,11|40|72,390,659,Crime|Thriller,4.5,2022,129,Germany,False,False,12,28,22,3988
395,139,6,True,True,True,0,4,13,5.3,2026-06-24,78,343,43,79,8,96,78,0.39,Documentary|Science Fiction|Adventure,122,2008,47|16|29,37|58|30,551,245,TV Movie|Drama,6.1,2016,131,Canada,False,False,33,68,27,1332
284,27,6,False,True,False,3,2,12,4.4,2026-06-13,256,150,10,20,17,115,262,0.38,Animation|Family,127,2007,27,51,519,383,Mystery,9.8,2003,103,USA,False,False,46,43,10,1132
241,115,1,True,False,False,1,5,8,2.2,2025-01-06,163,14,32,27,9,140,270,0.71,Family|History,85,1988,27,59|9|15,516,612,Action|Thriller|Family,8.2,1998,129,USA,False,False,27,24,43,706
448,121,11,True,False,False,0,3,15,3.5,2025-02-14,793,196,32,2,22,17,176,0.49,Comedy|Horror|Crime,75,2007,22|53|42,60,495,647,Crime,4.4,2009,79,Korea,False,False,57,6,21,2545
183,200,12,False,False,False,1,2,15,3.1,2025-02-18,680,144,15,47,27,102,225,1.27,Horror|Documentary,133,2016,52|34,11|55,85,441,Documentary|War|History,5.9,1985,116,Korea,False,False,28,22,45,3641
328,15,11,False,False,False,3,2,16,3.9,2025-03-18,832,191,65,20,1,36,224,0.24,Family,169,2008,25|37,78,162,696,Music|Western,6.6,1984,148,Japan,False,False,42,36,16,934
397,67,0,False,False,False,0,2,2,0.2,2026-04-02,440,318,36,62,12,31,69,1.22,Documentary|Science Fiction,81,2005,23|46|5,70|38|39,166,729,Documentary|Music|Thriller,5.3,1992,176,Japan,False,False,24,71,37,3027
159,102,14,False,False,False,0,0,14,2.8,2026-05-06,1077,215,98,52,36,18,64,1.37,Animation|Science Fiction|War,157,2018,9|57,76|24|17,448,515,Comedy,7.0,1999,96,Japan,False,False,23,67,19,651
274,24,8,True,False,False,2,4,15,4.0,2026-05-30,346,308,120,74,9,43,172,1.21,Adventure|Action|Animation,75,2021,42|14,54|4|64,563,297,History|TV Movie|Family,8.7,2023,126,Korea,False,False,11,57,27,3971
441,89,14,True,False,False,2,5,22,5.3,2026-02-13,268,394,47,65,35,27,163,0.49,Fantasy,127,2000,7,38,398,885,Romance|Family|Documentary,8.7,2016,167,India,True,False,33,60,32,2532
299,91,15,True,False,False,1,1,18,4.6,2025-02-19,104,149,63,76,30,73,274,0.21,Romance,87,2001,24|49|26,6|52,57,584,Drama|Music|History,4.4,2012,132,Germany,False,False,44,79,8,1059
102,155,3,False,False,False,2,1,6,1.7,2026-06-06,823,261,5,5,2,35,170,1.16,Science Fiction|Crime|Thriller,87,2005,21|11|26,39|76|44,524,849,War|TV Movie|History,6.8,1981,122,India,False,False,38,40,47,223
27,150,15,True,False,False,1,5,22,5.0,2026-05-07,350,273,80,79,24,37,124,0.24,Comedy|Drama|Action,126,2005,10|27,27|53|65,487,894,Adventure|Crime|Thriller,5.2,2000,159,Canada,False,False,12,59,35,2809
248,50,11,False,False,False,2,4,17,3.6,2025-09-10,572,290,38,28,19,73,106,1.03,Horror|TV Movie,114,2020,18|19|8,70|49|51,358,792,History,4.2,2025,85,India,False,False,48,62,14,1660
26,172,8,False,False,True,1,1,11,3.4,2025-08-20,477,31,12,52,21,120,51,1.02,Action,140,1995,42|57,62|26,299,329,Adventure|Animation,7.8,1994,143,USA,False,False,57,23,3,3257
5,77,15,True,False,False,2,0,18,5.0,2025-04-20,687,150,58,69,33,126,68,1.22,Fantasy|Drama,84,2006,47,33|24,19,755,History|Drama,5.0,2020,189,Iran,False,False,6,52,43,786
197,61,5,False,False,False,0,2,7,1.2,2026-04-03,547,493,42,38,37,146,5,0.51,Family|Adventure,155,1992,20|11,65|40,125,655,Music|Family,5.3,1988,136,Japan,False,False,24,54,45,4504
387,153,15,False,False,False,1,5,21,4.0,2025-03-25,1077,233,67,46,4,144,57,0.27,Thriller|Drama|Crime,91,2005,29|8|44,75,505,94,Science Fiction|Adventure|Western,4.8,2006,133,Italy,True,False,52,40,47,183
217,89,12,True,True,False,0,0,14,4.9,2025-03-07,1109,35,119,8,30,8,146,0.69,Romance,117,2009,56|59,49|11,557,137,Music|Comedy|Documentary,9.8,2005,142,Japan,False,False,1,3,20,3797
142,49,13,False,False,False,2,1,16,3.7,2025-04-26,66,419,84,53,39,4,123,0.45,Adventure,127,2023,46|56|4,6,416,450,War,5.3,1983,92,Germany,False,False,59,74,21,4735
154,71,10,True,False,False,1,3,15,3.8,2025-03-04,1141,490,75,22,40,109,284,0.79,Mystery|Thriller,110,2011,10|20,24|69,489,247,History,9.0,1989,178,Canada,False,False,27,72,34,1103
48,138,12,True,True,False,3,2,19,6.6,2025-07-15,106,142,48,77,38,10,37,0.43,War|Drama|TV Movie,96,2006,59|1,25,125,765,Family|Drama,6.3,1995,145,India,False,False,35,46,20,2147
469,53,11,False,False,True,3,2,17,5.1,2026-01-15,641,216,5,72,14,37,8,0.51,Western|Romance|History,89,1997,15|25,32|64|71,350,264,TV Movie|Science Fiction,5.0,2002,96,Japan,False,False,59,70,42,486
212,36,1,False,True,False,0,0,2,1.7,2025-08-25,140,367,19,1,13,129,233,0.65,TV Movie|Western|Action,70,2019,27|1|2,36|69|37,22,515,Romance|Documentary|Comedy,9.3,2013,94,France,True,False,53,46,18,3256
351,21,2,False,False,False,1,2,5,1.1,2025-02-02,192,212,48,48,35,121,28,0.96,Documentary|Animation|TV Movie,125,2006,55|7|58,6|30|28,585,487,Adventure|Animation,8.0,1997,190,Germany,False,True,60,41,2,1702
84,145,4,False,False,False,0,2,6,1.0,2025-09-04,1161,432,108,49,34,84,196,1.11,Animation,134,2007,7,30|10,353,620,Mystery|Horror|Action,7.7,2008,137,France,False,False,28,24,44,4804
138,40,12,True,False,False,0,0,13,3.4,2026-01-25,316,383,49,40,23,27,46,0.21,Science Fiction|Music,167,2002,9,24,446,460,War|Thriller|Romance,4.6,1985,120,Germany,True,False,21,50,1,2395
267,44,13,False,True,False,1,4,19,5.0,2026-01-25,348,76,34,38,17,126,74,0.28,Fantasy|Romance,108,2015,24,32|64,205,469,Crime,5.8,2005,117,Italy,False,False,29,43,28,4874
91,102,4,True,False,False,3,2,10,3.5,2025-11-23,597,381,88,62,36,62,166,0.65,Music|Comedy,142,1997,35|12|44,4|60|27,453,817,Animation|Romance,7.9,1988,156,Korea,False,False,46,55,25,610
19,93,14,False,False,False,3,4,21,4.7,2025-03-29,224,398,31,45,10,11,288,1.38,Mystery|Horror|Romance,83,1985,17,66,536,572,Western|Family|Science Fiction,6.2,2009,173,Italy,False,False,2,62,7,2425
160,88,13,False,True,False,1,2,17,4.8,2026-04-12,424,271,61,44,30,24,224,1.07,Horror|Animation,108,1987,8|2|55,14|22,254,529,War,4.9,2015,129,Canada,False,False,12,24,41,3545
3,181,12,True,False,False,3,3,19,5.2,2025-08-08,422,147,96,8,36,26,274,0.42,Drama|Science Fiction,84,2001,56|32|34,41|77|50,406,602,Music,6.0,2009,154,Japan,False,False,20,79,38,699
73,131,4,True,True,True,2,5,14,6.0,2026-02-02,857,310,17,73,24,108,95,0.78,Documentary|War|Western,132,2003,12,58|7,372,10,Crime|Drama,8.7,2015,139,Canada,False,False,46,57,32,1375
116,138,2,False,False,False,0,2,4,0.6,2025-10-23,345,404,58,72,31,140,261,0.34,Fantasy,169,2019,35|53,57,564,224,Comedy|Family,5.7,1982,132,Korea,False,False,29,16,50,1946
316,36,6,False,False,False,3,1,10,2.8,2025-07-31,424,417,7,72,22,136,143,0.92,Horror,160,2003,37|18,13|18|53,65,284,Crime|Western|Family,4.8,2000,181,France,False,False,32,19,37,2206
264,192,13,False,True,False,0,3,17,4.4,2025-10-12,756,237,62,41,37,0,47,1.08,Music|Animation,138,2010,28,64,279,331,Horror|War,7.4,2016,184,Canada,False,False,49,7,3,820
491,110,14,True,False,False,3,0,18,5.3,2025-07-27,271,456,83,38,10,70,47,0.99,Animation|Music,155,1995,26,40|30|55,98,721,Action,5.2,1984,91,Italy,False,False,1,2,45,2819
197,23,3,False,False,True,0,1,5,1.9,2025-04-15,212,165,47,38,8,97,68,0.97,Crime|Animation|Thriller,142,1985,42|11|29,28|20,426,631,Science Fiction|Drama|Animation,9.2,1988,171,UK,False,False,28,41,9,2034
14,169,8,False,True,False,2,5,16,4.6,2025-11-05,421,270,77,65,12,100,151,0.98,TV Movie,119,1992,32,77|10|68,17,370,Crime|Mystery,9.0,2016,128,India,False,False,31,10,2,4816
147,161,2,True,True,False,3,4,11,4.8,2026-05-29,851,221,89,51,5,137,275,0.94,Animation|History,80,2017,52,69,339,401,Animation|History|Romance,8.2,1995,82,France,True,False,30,79,39,455
71,180,9,False,False,False,0,5,14,2.3,2025-01-12,336,259,44,66,33,66,85,0.65,Fantasy|Comedy|Action,112,2012,34|5,74|10,513,467,Music|Adventure|TV Movie,9.0,1990,122,Japan,False,False,37,15,15,4173
197,39,0,True,False,False,3,2,6,2.7,2025-07-03,73,288,102,53,14,82,127,0.7,Horror|Fantasy|Animation,143,2008,33,7|23|29,533,48,Animation|Science Fiction,9.0,1999,116,UK,False,True,13,38,37,2494
462,140,7,False,False,False,1,5,13,2.4,2025-09-09,309,8,119,52,1,59,277,0.62,Action|Horror|Western,167,2009,47|20|7,68,248,430,Adventure|Crime,8.1,1985,80,France,False,False,45,48,30,700
340,34,3,False,False,False,0,3,6,0.9,2025-08-31,598,138,108,40,25,83,162,0.74,Animation,95,1993,7|10|11,60|41,421,124,Music|Drama|Science Fiction,5.8,1996,184,UK,True,False,20,78,3,1766
26,174,10,True,False,False,3,4,18,4.9,2025-11-03,533,424,22,3,25,115,284,1.1,Comedy,129,1991,8,8,232,134,Mystery,6.2,2020,157,UK,False,False,53,10,2,533
22,119,6,False,False,True,2,0,9,3.4,2025-02-21,345,478,73,55,25,127,15,0.66,Documentary|Music,97,1996,18|29,5,256,663,TV Movie|Romance,9.1,2010,82,UK,False,False,13,68,16,4458
468,145,0,False,False,False,3,2,5,1.7,2026-05-30,659,203,34,23,1,81,112,0.24,Adventure|TV Movie,137,2007,15|11|7,31,277,547,Adventure|Family|Mystery,6.1,1991,97,France,False,False,45,46,38,236
278,80,11,False,False,False,1,3,15,3.0,2025-06-29,1005,24,11,7,14,56,10,0.83,Horror,148,1997,22,23|42|8,27,152,Crime|Comedy|Thriller,9.0,1984,122,Iran,False,False,21,18,11,3583
341,151,15,False,True,False,2,1,19,5.6,2025-06-29,775,162,93,37,8,45,0,1.34,Mystery|Adventure|Documentary,147,2005,15|41|37,64,149,340,Animation|Family|Music,9.7,1990,156,UK,False,False,47,43,29,98
1,13,8,True,False,False,0,5,14,3.1,2026-01-31,898,380,53,21,26,126,193,0.62,Comedy|TV Movie,170,2021,49|44|15,58,80,819,History,4.1,1996,88,UK,False,False,11,10,36,767
483,168,10,False,False,False,0,3,13,2.3,2025-06-18,890,85,6,12,21,52,97,0.69,War|Fantasy|History,108,2000,4,74|71,507,158,Music,4.0,1985,112,Italy,False,False,14,22,41,2395
459,170,2,False,True,False,3,3,9,3.7,2025-09-29,187,333,69,49,11,94,195,0.64,Adventure|Fantasy,126,2014,15|54,73|8,159,771,Comedy|Animation|Music,8.7,2006,171,Italy,False,True,25,67,27,4391
18,129,15,False,True,False,3,5,24,6.5,2026-06-14,1171,351,79,18,7,114,88,1.34,Drama,94,1993,28,56,211,843,Crime|Fantasy|Horror,9.3,1984,86,Iran,False,False,55,36,34,3758
213,39,0,False,False,False,3,0,3,1.5,2025-06-01,1161,306,74,12,6,144,51,1.14,Music|Romance|Fantasy,119,2016,39|31|3,36,417,148,Mystery|Adventure|Western,9.2,2001,163,France,True,False,18,48,2,2772
69,77,9,True,False,False,0,1,11,2.9,2026-03-30,658,142,93,53,38,22,96,0.73,TV Movie|Thriller,117,1988,51|11|5,65|52,143,800,Western|Action|Documentary,5.1,1992,182,USA,False,False,59,47,46,1636
16,62,8,False,False,False,0,5,13,2.1,2026-01-17,1002,309,57,22,30,150,282,0.62,Fantasy,165,1990,2|25,21,590,799,Family,7.8,2023,101,Korea,False,False,56,2,31,1088
496,182,5,False,True,False,2,5,13,4.0,2025-10-09,868,463,48,44,29,64,111,0.76,Thriller|Mystery|Comedy,70,2017,54|24|36,77|78|37,310,701,TV Movie,4.4,1997,156,India,False,False,46,39,13,1233
164,175,7,False,False,False,3,5,15,3.4,2025-05-24,53,340,63,37,16,107,207,0.67,Western,160,2021,22,29|69|61,372,520,Documentary|War,5.1,1986,135,Japan,False,False,36,24,44,2754
191,67,2,True,True,False,3,2,9,4.6,2025-10-29,950,440,15,60,3,149,297,1.33,TV Movie,94,2017,56,49|68|39,428,56,Crime,9.8,2001,127,Italy,False,False,10,41,46,1482
232,71,2,False,False,False,0,0,2,0.4,2025-08-03,346,300,97,20,31,22,66,0.94,Romance|Mystery|Western,131,2009,3,26|48|2,334,776,Drama|Action|War,7.6,1995,103,India,False,False,33,76,20,1373
455,176,2,False,False,False,2,3,7,1.7,2025-05-18,702,466,62,45,12,42,206,0.22,Crime,97,1986,33|11|8,5|49,266,790,Adventure|Western|Comedy,7.8,1981,81,UK,False,False,36,33,31,1259
267,70,6,False,False,False,0,5,11,1.7,2025-05-21,858,430,115,13,32,30,144,0.34,TV Movie,95,2023,50,67|26,371,721,History|Documentary,4.2,2011,101,Canada,False,True,43,12,8,4708
330,60,15,True,True,False,0,2,19,5.7,2026-04-13,607,140,59,6,6,44,20,1.22,Horror|Romance,164,1992,55,2,146,680,Documentary|Horror|Music,9.2,2019,109,UK,False,False,8,52,26,3744
454,43,8,False,False,False,3,5,16,3.6,2025-04-26,272,361,92,7,10,26,213,1.29,Western|Science Fiction,93,2024,50|23,4|17|62,504,116,Science Fiction|Adventure,4.4,2021,115,USA,False,False,50,74,47,4633
339,187,7,False,False,False,0,3,10,1.7,2025-09-12,987,182,84,49,9,142,27,0.21,Thriller,130,2016,5,42|31,343,285,Thriller,5.3,2021,123,Iran,False,True,29,74,29,726
207,106,15,False,True,False,0,0,16,4.5,2025-02-06,1142,286,0,11,38,77,260,0.87,Science Fiction|Horror|Music,76,1999,22|36,77|61|47,468,117,Family,4.0,2002,181,Korea,False,False,7,6,11,4038
101,49,4,False,False,False,2,4,10,2.2,2025-05-04,805,115,58,24,21,27,212,0.26,Western|Comedy|Science Fiction,128,2022,9|32|1,7|71|56,499,521,Western,5.0,1988,88,Iran,False,False,21,65,25,3434
71,106,7,True,False,False,3,1,12,4.0,2026-06-09,613,436,89,70,20,141,111,0.44,History|Music|Crime,160,1996,35|45|41,15|46,580,492,Western|Romance|History,9.1,2007,178,USA,False,True,10,7,43,468
430,16,6,True,False,False,2,1,10,3.3,2025-10-30,418,390,69,4,22,115,52,0.94,War|Family|Mystery,100,2017,19|45|43,49,401,427,Horror|War|Adventure,4.1,1996,100,Italy,False,False,29,29,41,3017
39,48,6,False,False,False,1,5,12,2.2,2025-06-27,1053,66,48,5,27,71,284,0.52,Western,102,1985,30|46,6,162,331,Adventure|History|TV Movie,8.6,2015,120,UK,False,False,15,24,34,563
340,85,5,False,False,True,1,1,8,2.8,2025-12-06,739,155,27,79,33,121,287,1.19,Action|Comedy|Music,127,2000,40|59|16,42,395,816,Mystery,5.5,1998,78,Germany,False,False,52,66,29,3992
86,198,1,True,False,False,0,0,2,1.2,2025-01-08,135,112,85,80,13,108,53,0.45,Romance|Animation|Crime,73,2014,22|3|6,7,187,814,War|Animation,7.3,1994,108,Iran,False,False,28,41,2,3195
435,19,3,False,False,False,0,5,8,1.1,2026-01-02,1030,59,37,38,38,22,144,1.12,Mystery|Western,154,1986,11|35,18,405,816,History|Crime|Western,7.9,2021,122,USA,False,False,8,6,1,4696
212,166,12,False,False,False,2,1,15,3.5,2026-06-09,292,87,23,28,39,64,99,0.34,Western|Adventure|Science Fiction,152,2020,19,9|33|13,207,744,TV Movie|Horror|Music,4.7,2021,105,UK,False,True,13,41,32,3696
491,110,10,False,False,False,2,2,14,3.2,2025-06-22,10,165,31,28,27,70,184,0.36,Horror|TV Movie|Science Fiction,127,2007,32|36,23,88,862,Crime|War,5.1,2020,84,UK,False,False,41,4,38,4747
458,139,12,False,True,True,2,4,20,6.5,2026-04-29,305,192,50,28,37,74,68,0.76,Animation|Mystery|Music,134,1985,16|55|52,22|66|18,461,164,Western,9.5,2022,186,Japan,False,False,23,6,15,3999
465,93,7,True,False,True,1,4,14,4.5,2026-02-02,962,474,58,5,2,82,52,1.04,Fantasy|Western|Documentary,118,2009,38|42,67,262,386,Thriller,6.4,2002,137,Canada,False,True,57,18,29,1361
186,155,7,True,False,False,1,1,10,3.0,2025-05-02,472,217,103,42,7,123,245,0.77,Documentary|Romance|Action,101,1987,37,21|18|66,45,587,Adventure,5.0,1991,141,Iran,False,False,2,37,6,1779
308,37,14,False,False,False,1,3,18,3.6,2025-07-06,1047,140,21,43,29,17,117,0.65,Comedy,72,1997,56|59|33,54|20|78,103,182,Adventure|War,6.9,1987,86,Canada,False,False,35,1,50,3539
405,197,13,False,True,False,1,3,18,4.9,2026-01-26,718,306,102,73,6,108,68,0.51,Animation,106,2023,27|17|13,1,596,536,Thriller,4.0,2021,101,India,False,False,28,75,17,2145
212,142,13,False,False,False,3,1,17,4.2,2026-05-10,367,194,71,71,30,64,157,0.89,Mystery|Crime|Comedy,165,1999,51|45,13,224,521,Horror|War,7.6,2023,165,USA,True,False,1,12,10,3868
197,103,13,True,False,False,0,5,19,4.1,2026-06-18,587,369,76,7,11,126,224,0.21,Thriller|History|Drama,74,2023,34|45|15,22|5|47,249,671,Documentary,4.5,1997,174,Iran,False,False,38,26,34,130
494,71,2,False,False,False,2,2,6,1.6,2025-08-20,399,237,119,51,36,1,133,0.41,Comedy|War|Animation,134,2003,8|52,33|69|74,261,711,Mystery|TV Movie,8.5,2001,174,Canada,False,False,56,4,31,957
212,91,8,True,False,False,1,2,12,3.3,2026-06-13,1098,9,89,33,15,73,47,0.68,Horror|Animation|Documentary,130,2005,14|58,35|24|25,515,755,Family,8.3,1996,101,France,False,False,40,46,10,878
491,11,3,False,False,False,0,4,7,1.0,2026-05-09,761,322,40,63,36,70,251,0.42,Fantasy|Mystery|Family,166,2021,4,55|62|70,38,515,Mystery|Documentary,6.7,1987,164,Germany,False,False,1,27,25,4764
138,121,3,True,False,False,2,1,7,2.7,2025-12-18,750,99,63,54,13,107,190,0.64,Fantasy|Science Fiction,93,2021,37,30|13|35,246,569,Mystery|Drama,4.8,1989,135,USA,True,False,58,67,35,2591
354,42,15,True,False,False,3,0,19,5.5,2025-03-03,442,421,32,60,40,24,230,1.09,Music|Western,141,2020,23|2,16|45,208,591,War|Documentary|History,6.1,2023,140,Canada,False,False,6,49,40,2352
324,157,14,False,True,False,2,3,20,5.6,2026-02-19,147,45,20,43,14,80,162,0.98,Fantasy|Mystery|Western,126,2008,38|34|29,22|24,28,129,Family|Fantasy|Animation,5.2,2005,88,UK,True,False,36,7,2,3257
